campaign_id,kind,from_state,to_state,actor_role,created_at
201,opened,,open,looper_sensor,2026-08-23 18:41:23.212267-04
201,claimed,open,claimed,looper_kernel,2026-08-23 18:41:27.343554-04
201,attempt_started,claimed,acting,looper_kernel,2026-08-23 18:41:30.165024-04
201,verifying,acting,verifying,looper_kernel,2026-08-23 18:43:31.188627-04
201,reaped,verifying,retry_wait,looper_kernel,2026-08-23 21:44:59.828442-04
201,claimed,retry_wait,claimed,looper_kernel,2026-08-23 22:23:37.82161-04
201,attempt_started,claimed,acting,looper_kernel,2026-08-23 22:23:41.523644-04
201,verifying,acting,verifying,looper_kernel,2026-08-23 22:26:10.206754-04
201,verified_pass,,,looper_verifier,2026-08-23 22:40:55.881504-04
201,reaped,verifying,retry_wait,looper_kernel,2026-08-23 23:27:43.367157-04
201,claimed,retry_wait,claimed,looper_kernel,2026-08-23 23:57:57.776218-04
201,attempt_started,claimed,acting,looper_kernel,2026-08-23 23:58:01.283645-04
201,verifying,acting,verifying,looper_kernel,2026-08-24 00:00:53.346372-04
201,verified_pass,,,looper_verifier,2026-08-24 00:14:29.865772-04
201,merge_intended,,,looper_verifier,2026-08-24 00:14:32.899458-04
201,merge_succeeded,verifying,merged,looper_verifier,2026-08-24 00:14:33.924393-04
201,confirmed,merged,resolved_confirmed,looper_sensor,2026-08-24 00:29:09.47252-04
202,opened,,open,looper_sensor,2026-08-24 17:37:51.123366-04
202,claimed,open,claimed,looper_kernel,2026-08-24 17:37:55.721528-04
202,attempt_started,claimed,acting,looper_kernel,2026-08-24 17:37:59.01807-04
202,verifying,acting,verifying,looper_kernel,2026-08-24 17:39:58.771064-04
202,verified_pass,,,looper_verifier,2026-08-24 17:54:29.991786-04
202,merge_intended,,,looper_verifier,2026-08-24 17:54:33.225625-04
202,merge_succeeded,verifying,merged,looper_verifier,2026-08-24 17:54:34.150963-04
202,confirmed,merged,resolved_confirmed,looper_sensor,2026-08-24 18:09:10.93022-04
203,opened,,open,looper_sensor,2026-08-26 02:27:32.543342-04
203,claimed,open,claimed,looper_kernel,2026-08-26 02:27:36.68685-04
203,attempt_started,claimed,acting,looper_kernel,2026-08-26 02:27:41.182187-04
203,verifying,acting,verifying,looper_kernel,2026-08-26 02:29:44.45545-04
203,verified_pass,,,looper_verifier,2026-08-26 02:44:14.803175-04
203,merge_intended,,,looper_verifier,2026-08-26 02:44:18.921516-04
203,merge_succeeded,verifying,merged,looper_verifier,2026-08-26 02:44:20.01505-04
203,confirmed,merged,resolved_confirmed,looper_sensor,2026-08-26 02:58:57.867506-04
